Date,Close/Last,Volume,Open,High,Low
07/24/2024,$74.68,10478210,$76.37,$76.49,$74.02
07/23/2024,$76.26,9592106,$77.14,$77.14,$76.025
07/22/2024,$76.55,18851540,$78.33,$78.47,$76.012
07/19/2024,$79.27,32965920,$74.66,$79.38,$74.19
07/18/2024,$74.19,10700990,$74.46,$75.11,$73.81
07/17/2024,$75.10,11567830,$75.22,$76.13,$74.55
07/16/2024,$75.51,14968740,$72.21,$75.51,$71.55
07/15/2024,$72.75,9064379,$74.89,$74.895,$72.52
07/12/2024,$74.83,10559270,$73.80,$75.055,$73.38
07/11/2024,$73.30,12316130,$72.34,$73.50,$72.08
07/10/2024,$72.51,11132450,$72.99,$73.17,$72.35
07/09/2024,$72.75,11842210,$74.63,$74.64,$72.73
07/08/2024,$74.57,8871230,$76.34,$76.45,$74.47
07/05/2024,$76.05,9663107,$76.24,$76.27,$75.42
07/03/2024,$76.26,4906747,$76.84,$77.04,$76.07
07/02/2024,$76.83,8854084,$77.12,$77.21,$76.28
07/01/2024,$77.13,6767590,$77.99,$78.22,$76.78
06/28/2024,$77.85,13207540,$78.72,$78.88,$77.61
06/27/2024,$79.235,10289620,$79.05,$79.44,$78.68
06/26/2024,$79.15,10708140,$79.00,$79.28,$78.38
06/25/2024,$79.28,16177000,$80.00,$80.75,$78.87
06/24/2024,$79.73,7396623,$80.00,$80.07,$79.17
06/21/2024,$79.91,25650610,$80.00,$80.25,$79.1571
06/20/2024,$79.72,10183870,$79.82,$80.78,$79.67
06/18/2024,$80.20,9664456,$81.01,$81.705,$79.59
06/17/2024,$81.33,9845911,$79.58,$81.75,$79.27
06/14/2024,$79.65,7192438,$80.00,$80.40,$79.11
06/13/2024,$80.24,13947320,$79.50,$80.90,$79.18
06/12/2024,$79.38,8873369,$79.99,$80.18,$79.179
06/11/2024,$79.89,9024288,$80.92,$80.97,$79.75
06/10/2024,$81.60,8700789,$81.49,$81.85,$80.84
06/07/2024,$81.43,10852600,$81.62,$82.63,$80.61
06/06/2024,$81.47,9237764,$81.15,$82.93,$80.92
06/05/2024,$81.16,11275340,$82.46,$82.50,$80.96
06/04/2024,$82.79,12369950,$81.97,$83.43,$81.90
06/03/2024,$82.08,12443410,$79.68,$82.12,$79.62
05/31/2024,$80.22,12669720,$79.08,$80.33,$78.61
05/30/2024,$78.76,9296635,$77.10,$78.875,$77.055
05/29/2024,$76.88,9268066,$77.10,$78.32,$76.83
05/28/2024,$77.48,8833325,$78.79,$78.80,$77.41
05/24/2024,$78.87,10746170,$78.50,$79.22,$78.11
05/23/2024,$78.305,15841330,$80.10,$80.70,$77.64
05/22/2024,$80.72,22072210,$77.70,$81.02,$77.44
05/21/2024,$77.72,8916627,$77.555,$78.215,$77.50
05/20/2024,$77.54,11183770,$77.68,$78.32,$76.71
05/17/2024,$77.85,14436470,$75.27,$78.00,$74.92
05/16/2024,$75.28,10758470,$75.185,$75.55,$74.455
05/15/2024,$75.70,8826471,$75.90,$76.03,$75.3201
05/14/2024,$75.63,10961100,$76.23,$76.73,$75.52
05/13/2024,$76.18,10953590,$76.22,$76.84,$75.80
05/10/2024,$76.11,15761890,$75.31,$76.305,$75.06
05/09/2024,$75.68,18591500,$73.57,$75.76,$73.07
05/08/2024,$73.50,24482630,$72.29,$74.475,$72.25
05/07/2024,$72.50,21901340,$72.85,$72.85,$71.80
05/06/2024,$72.90,18632230,$73.31,$74.19,$72.70
05/03/2024,$73.11,22153770,$75.27,$75.51,$72.985
05/02/2024,$74.93,23883370,$74.90,$75.145,$73.35
05/01/2024,$74.44,66610720,$75.82,$76.99,$72.67
04/30/2024,$88.49,14538430,$87.61,$88.99,$87.18
04/29/2024,$88.33,8522833,$88.24,$88.61,$87.86
04/26/2024,$88.25,7185257,$87.40,$89.25,$87.3704
04/25/2024,$87.84,7284616,$89.55,$89.73,$87.68
04/24/2024,$88.75,7183882,$87.06,$88.94,$86.95
04/23/2024,$87.87,5670465,$88.77,$88.81,$87.32
04/22/2024,$88.18,8668988,$88.08,$88.61,$87.34
04/19/2024,$87.61,11899970,$87.15,$88.08,$87.12
04/18/2024,$87.15,11403310,$86.438,$87.63,$86.05
04/17/2024,$86.21,6870073,$86.00,$86.42,$85.34
04/16/2024,$85.42,8866801,$84.82,$86.19,$84.42
04/15/2024,$85.17,9676851,$85.40,$86.365,$84.915
04/12/2024,$84.92,8594849,$85.42,$85.51,$84.29
04/11/2024,$85.90,6841570,$86.00,$86.31,$85.26
04/10/2024,$85.95,7413858,$86.32,$86.87,$85.60
04/09/2024,$87.13,6242718,$87.19,$87.60,$86.31
04/08/2024,$87.19,6322904,$86.97,$87.36,$86.3561
04/05/2024,$86.85,7161442,$87.90,$87.93,$86.83
04/04/2024,$87.62,8057591,$89.13,$89.34,$87.61
04/03/2024,$88.70,6316375,$89.60,$89.84,$88.65
04/02/2024,$89.30,8276754,$91.11,$91.24,$89.23
04/01/2024,$91.53,4990156,$91.82,$92.07,$91.02
03/28/2024,$91.39,6784293,$91.79,$92.24,$91.30
03/27/2024,$91.50,5863683,$90.65,$91.83,$90.60
03/26/2024,$90.36,6216108,$90.98,$91.00,$90.23
03/25/2024,$90.67,6902986,$90.65,$91.1175,$90.47
03/22/2024,$90.71,6495018,$91.74,$91.78,$90.06
03/21/2024,$91.66,6287275,$92.63,$93.17,$91.64
03/20/2024,$92.60,5804396,$91.79,$92.625,$91.515
03/19/2024,$91.59,5676530,$91.00,$91.90,$90.86
03/18/2024,$91.01,7413915,$90.75,$91.425,$90.53
03/15/2024,$90.12,18136260,$91.60,$92.02,$90.0975
03/14/2024,$91.66,8544799,$91.10,$91.71,$90.41
03/13/2024,$91.61,8254464,$92.49,$92.87,$90.87
03/12/2024,$92.40,9444933,$92.00,$92.72,$91.21
03/11/2024,$92.07,6702272,$91.26,$92.96,$91.1675
03/08/2024,$91.06,7673306,$90.62,$91.53,$90.60
03/07/2024,$90.95,8792403,$91.62,$91.76,$90.31
03/06/2024,$91.65,4826947,$91.35,$92.03,$91.12
03/05/2024,$91.22,7137304,$92.10,$92.17,$91.065
03/04/2024,$92.46,7321004,$93.06,$93.32,$92.04
03/01/2024,$93.16,7995399,$94.45,$94.57,$92.91
02/29/2024,$94.90,11221060,$94.50,$95.10,$93.98
02/28/2024,$93.00,5622420,$93.77,$93.97,$92.77
02/27/2024,$94.13,5356076,$94.32,$94.66,$93.60
02/26/2024,$94.28,7043838,$95.36,$95.565,$94.25
02/23/2024,$95.62,6845440,$95.88,$96.93,$95.58
02/22/2024,$95.78,8124709,$94.89,$96.075,$94.14
02/21/2024,$95.02,8286281,$93.86,$95.766,$93.77
02/20/2024,$93.46,8844526,$93.36,$94.12,$93.065
02/16/2024,$93.22,5737486,$93.10,$94.1799,$92.75
02/15/2024,$93.22,8877987,$94.03,$94.24,$93.00
02/14/2024,$94.07,5510631,$94.08,$94.47,$93.76
02/13/2024,$93.87,8138495,$94.85,$95.56,$93.39
02/12/2024,$95.47,9224370,$96.92,$97.1392,$95.38
02/09/2024,$97.30,9385584,$96.32,$97.99,$96.29
02/08/2024,$96.59,9888133,$95.10,$96.69,$93.925
02/07/2024,$95.31,9077973,$96.24,$96.6593,$94.43
02/06/2024,$95.67,11531490,$92.50,$95.70,$92.35
02/05/2024,$92.51,7335836,$92.78,$92.868,$91.90
02/02/2024,$92.99,11366590,$92.69,$93.61,$91.67
02/01/2024,$93.37,15001460,$93.10,$93.60,$91.87
01/31/2024,$93.03,26751780,$98.28,$98.36,$93.02
01/30/2024,$94.08,17625240,$93.00,$94.68,$92.585
01/29/2024,$93.80,12728070,$93.02,$93.93,$92.24
01/26/2024,$92.80,9229443,$92.92,$93.49,$92.41
01/25/2024,$92.61,11991470,$92.22,$92.65,$91.715
01/24/2024,$92.04,7661364,$92.55,$92.84,$91.99
01/23/2024,$91.97,10227080,$93.03,$93.645,$91.77
01/22/2024,$93.07,9420979,$93.80,$93.92,$92.81
01/19/2024,$93.86,9565850,$93.18,$94.24,$92.64
01/18/2024,$93.34,7549528,$91.96,$93.425,$91.82
01/17/2024,$91.77,6672876,$91.66,$91.955,$91.40
01/16/2024,$92.70,7493443,$92.66,$92.73,$91.73
01/12/2024,$91.98,5641163,$93.23,$93.40,$91.7716
01/11/2024,$92.94,6483610,$93.33,$93.64,$91.90
01/10/2024,$93.50,5847748,$93.01,$93.69,$92.88
01/09/2024,$93.09,6348458,$93.61,$93.73,$92.86
01/08/2024,$94.19,7536873,$93.02,$94.57,$92.95
01/05/2024,$92.99,7191023,$93.33,$93.58,$92.48
01/04/2024,$93.55,7118640,$93.10,$94.58,$93.00
01/03/2024,$93.23,7161677,$93.96,$94.24,$93.06
01/02/2024,$93.67,8859654,$95.45,$95.95,$93.62
12/29/2023,$96.01,6135654,$95.88,$96.35,$95.3501
12/28/2023,$95.93,4518319,$95.50,$95.97,$95.112
12/27/2023,$95.29,4959279,$95.69,$95.7786,$94.79
12/26/2023,$95.67,3709492,$95.34,$95.69,$94.955
12/22/2023,$95.28,6361013,$94.89,$95.83,$94.34
12/21/2023,$95.33,7097160,$95.08,$95.4399,$94.47
12/20/2023,$94.71,10057370,$96.36,$96.88,$94.65
12/19/2023,$97.72,5992883,$96.94,$98.045,$96.94
12/18/2023,$96.56,6146426,$97.24,$97.32,$95.92
12/15/2023,$96.75,12466040,$97.84,$98.2382,$96.56
12/14/2023,$97.84,9764843,$98.72,$98.79,$97.15
12/13/2023,$98.11,7741909,$98.50,$98.64,$96.82
12/12/2023,$98.15,6313820,$98.44,$98.60,$97.43
12/11/2023,$98.12,7639105,$97.22,$99.005,$97.22
12/08/2023,$96.61,7125234,$96.08,$96.86,$95.81
12/07/2023,$96.44,7858295,$97.25,$97.695,$96.2702
12/06/2023,$97.02,12115000,$95.95,$97.17,$95.47
12/05/2023,$95.54,16027350,$97.38,$97.48,$94.845
12/04/2023,$97.60,11477380,$98.39,$98.88,$96.77
12/01/2023,$99.20,12506510,$98.50,$99.28,$97.52
11/30/2023,$99.30,11442610,$100.06,$100.12,$98.42
11/29/2023,$99.85,8428536,$101.51,$101.69,$99.53
11/28/2023,$101.18,6848126,$101.96,$102.05,$100.89
11/27/2023,$102.36,7853572,$102.29,$103.09,$102.065
11/24/2023,$102.78,3206415,$103.44,$103.60,$102.465
11/22/2023,$103.44,4831074,$104.16,$104.68,$103.28
11/21/2023,$103.69,6148980,$104.45,$104.68,$103.17
11/20/2023,$104.30,9800973,$105.21,$105.47,$103.86
11/17/2023,$105.57,6343048,$107.18,$107.50,$105.48
11/16/2023,$107.21,8037166,$106.28,$107.66,$106.20
11/15/2023,$106.03,7980174,$105.66,$106.54,$105.66
11/14/2023,$105.60,8322991,$104.48,$105.82,$104.2403
11/13/2023,$103.51,7120802,$103.92,$104.23,$102.955
11/10/2023,$104.33,7340029,$102.60,$104.345,$101.98
11/09/2023,$102.23,7607049,$104.30,$104.46,$102.03
11/08/2023,$104.30,7452971,$103.74,$104.815,$103.65
11/07/2023,$103.68,6239517,$104.23,$104.39,$103.325
11/06/2023,$104.03,7532035,$102.87,$104.09,$101.97
11/03/2023,$102.65,15995730,$100.62,$103.77,$100.50
11/02/2023,$100.01,23396320,$100.99,$101.92,$99.74
11/01/2023,$91.35,14292510,$91.83,$91.86,$90.55
10/31/2023,$92.24,9308255,$93.17,$93.32,$91.995
10/30/2023,$93.15,7852882,$93.12,$93.71,$92.72
10/27/2023,$92.02,8293588,$92.64,$93.73,$91.77
10/26/2023,$92.67,6201678,$93.81,$94.476,$92.60
10/25/2023,$94.00,5497301,$94.32,$95.36,$93.97
10/24/2023,$94.62,3600227,$94.28,$94.98,$94.06
10/23/2023,$94.20,4481004,$93.93,$95.03,$93.29
10/20/2023,$94.19,4698978,$94.62,$95.09,$94.14
10/19/2023,$94.42,5611009,$94.37,$95.66,$94.17
10/18/2023,$93.75,4110651,$93.94,$94.53,$93.50
10/17/2023,$94.18,6086690,$92.75,$94.19,$92.6315
10/16/2023,$93.65,4595886,$92.17,$93.855,$91.85
10/13/2023,$91.48,4780570,$91.28,$92.06,$91.05
10/12/2023,$91.42,5485215,$91.84,$92.25,$90.77
10/11/2023,$91.95,4499170,$93.29,$93.6286,$91.845
10/10/2023,$93.18,4974831,$92.96,$93.97,$92.87
10/09/2023,$92.68,4120707,$92.45,$92.79,$91.43
